date,avg(avg(sog)),slow_count,fast_count
2015/06/22,7.215233260916405,164,462
2014/11/06,7.665868130202147,125,413
2014/12/03,6.055071129973922,194,280
2015/03/01,6.958135956114413,130,406
2016/04/27,6.328349988690245,165,478
2016/02/10,6.388097980183031,151,442
2016/04/02,6.491557559731354,184,470
2016/04/28,6.80546109715707,173,474
2016/03/26,6.570818488947125,170,471
2016/06/27,5.741424398460421,236,330
2015/02/16,6.5875510831719195,151,409
2016/03/05,7.024015252927272,145,442
2014/10/06,6.4779057904320805,167,316
2014/10/18,7.270267063527192,135,424
2014/11/09,7.200847788365306,136,408
2014/12/09,6.7218330684447185,136,400
2015/01/15,7.299858433230653,125,442
2015/04/18,7.782446644860487,130,507
2015/04/24,6.4677178388541465,189,356
2015/01/09,7.192932647325652,124,406
2016/03/10,6.4870149140592375,167,452
2015/01/06,7.158739331254724,128,413
2015/01/26,7.388144260976708,146,423
2015/03/06,7.6837523685787685,112,451
2014/10/08,7.085384911109085,137,434
2014/12/07,7.25832190816109,123,407
2015/04/07,7.236716267321768,139,433
2015/09/04,7.399762432118943,150,384
2016/02/24,6.407352661069012,171,430
2016/04/14,6.552000876000476,175,478
2015/01/19,7.085833676503799,136,421
2015/02/03,7.088398433895078,133,400
2015/04/20,7.192629128853173,170,465
2016/04/05,6.754963272284159,178,491
2016/04/12,6.802346558431093,182,477
2016/07/13,6.454752622760872,185,471
2016/07/21,6.522203040137456,201,497
2015/07/03,7.393383234860916,154,488
2016/04/26,6.300616487434649,170,461
2015/01/21,7.342427803594592,142,407
2015/04/27,6.871328691885634,169,443
2016/02/14,6.390607326897445,171,437
2016/07/23,6.7766349483968495,185,495
2014/12/20,7.496631178210932,121,442
2016/02/07,6.470049956375447,172,430
2014/12/08,7.094020434226233,120,417
2016/03/17,6.641517192859064,175,461
2015/01/07,6.778632119487216,143,394
2015/09/12,7.233480792141427,170,488
2016/02/17,6.643493126019037,158,445
2016/04/19,6.595708720504772,193,478
2016/05/29,6.4212858058963125,213,481
2016/03/22,6.782662289325543,183,449
2016/08/08,6.205766487882455,197,464
2015/09/25,7.341132430474595,154,463
2016/04/09,6.733556544881155,175,444
2015/06/17,6.904229296870155,185,332
2016/07/30,6.838118177403538,175,492
2015/09/23,7.15099265448426,155,451
2015/10/03,7.298062559754776,154,488
2016/03/21,6.199772490878762,198,437
2016/02/27,6.275503259818504,175,438
2015/09/26,7.429039550380896,158,461
2016/03/01,6.380806251513262,171,456
