date,slow_count,fast_count,avg(avg(sog))
2014/10/06,180,362,6.683544345716358
2014/10/07,146,460,7.08341972209876
2014/10/08,151,481,7.125317893582055
2014/10/09,141,474,7.203537190315257
2014/10/10,127,494,7.4239969900471205
2014/10/11,154,474,7.293395222645529
2014/10/12,166,437,7.120692322686126
2014/10/13,166,453,6.861556857204057
2014/10/14,144,467,7.031126224105001
2014/10/15,156,465,6.978038583185407
2014/10/16,170,459,6.986349535558175
2014/10/17,155,456,6.905773690441734
2014/10/18,147,479,7.45020417637354
2014/10/19,164,456,6.89455481779512
2014/10/20,154,494,7.016560604978017
2014/10/21,151,506,6.830714546825636
2014/10/22,136,506,7.205106711093981
2014/10/23,144,491,7.35447282390666
2014/10/24,136,504,7.2284223734593045
2014/10/25,164,465,6.929105781160544
2014/10/26,179,477,6.749028852307979
2014/10/27,152,492,7.1585363447105435
2014/10/28,151,488,7.263826042923752
2014/10/29,137,489,7.290449602109832
2014/10/30,151,468,7.044455934017047
2014/10/31,154,494,7.122174753562398
2014/11/01,148,484,7.368338180776001
2014/11/02,164,442,7.169698488263807
2014/11/03,135,482,7.396072409229834
2014/11/04,192,304,6.298528801917589
2014/11/05,192,287,6.2270045013110185
2014/11/06,143,446,7.60995189647768
2014/11/07,128,470,7.4003538462705345
2014/11/08,139,446,7.075293362581238
2014/11/09,152,458,7.310648211303241
2014/11/10,154,413,7.14834441134073
2014/12/03,210,311,6.176252937385956
2014/12/04,141,505,7.661302816040706
2014/12/05,139,496,7.488263192334917
2014/12/06,137,456,7.658810930758218
2014/12/07,132,449,7.385833943620717
2014/12/08,135,458,7.157376227738451
2014/12/09,149,448,6.848405221344331
2014/12/10,145,430,6.572072151129352
2014/12/11,140,466,6.763026997589246
2014/12/12,143,460,6.9296450230121
2014/12/13,137,465,7.314687739967859
2014/12/14,136,436,6.948581570124633
2014/12/15,154,433,6.683412756413878
2014/12/16,132,489,7.583509711500332
2014/12/17,140,460,7.606642694212645
2014/12/18,144,448,7.265204003772333
2014/12/19,144,477,7.014887824919772
2014/12/20,143,485,7.418900385319006
2014/12/21,141,476,7.293307540060035
2014/12/22,142,461,7.151962843666848
2014/12/23,146,459,7.114134280594345
2014/12/24,148,472,7.456985297459531
2014/12/25,193,424,6.84722442052893
2014/12/26,165,440,6.821504149434881
2014/12/27,147,447,7.323860257579896
2014/12/28,141,438,7.1428296822951705
2014/12/29,148,466,7.083617308522229
2014/12/30,149,447,6.988316805744623
2015/01/05,169,356,6.647083110759495
2015/01/06,145,467,7.183921495404186
2015/01/07,162,443,6.8054797156250615
2015/01/08,151,449,7.2085110500862735
2015/01/09,139,457,7.204305834260465
2015/01/10,136,465,6.889349677652492
2015/01/11,155,472,6.456955073058098
2015/01/12,150,464,7.131890179359074
2015/01/13,156,471,6.894729272481703
2015/01/14,151,492,7.196957218566544
2015/01/15,137,500,7.317155824334403
2015/01/16,119,492,7.814600040484687
2015/01/17,138,485,7.280874103902048
2015/01/18,156,461,7.277198034301199
2015/01/19,160,473,7.126053963068753
2015/01/20,142,480,7.370203469950227
2015/01/21,163,457,7.345925556961974
2015/01/22,146,490,7.44745904603908
2015/01/23,147,483,7.321621371781482
2015/01/24,156,458,7.12690542672356
2015/01/25,177,450,7.096281808198962
2015/01/26,162,468,7.434430142662364
2015/01/27,161,480,7.33726573238413
2015/01/28,165,461,6.913570314480325
2015/01/29,146,503,6.820689468685588
2015/01/30,123,508,7.450443486974389
2015/01/31,160,448,6.942686114527266
2015/02/01,158,459,6.99628494119817
2015/02/02,148,468,6.993485171528434
2015/02/03,150,454,7.124442119895574
2015/02/06,212,331,6.293892856750731
2015/02/07,156,466,7.385826122169326
2015/02/08,148,454,6.934962834030398
2015/02/09,145,482,7.257088491799772
2015/02/10,154,487,7.027739347604563
2015/02/11,161,483,7.366318604506452
2015/02/12,153,498,7.674589466333205
2015/02/13,146,458,7.276569861546241
2015/02/14,142,483,7.398290730095857
2015/02/15,170,468,7.195834392390022
2015/02/16,168,449,6.680709678894274
2015/02/17,161,449,6.990490873869752
2015/02/18,164,443,6.940420797671733
2015/02/19,143,474,7.304000203462166
2015/02/20,150,461,7.061058554030121
2015/02/21,140,460,7.158680154781396
2015/02/22,147,449,7.224661708432532
2015/02/23,150,468,7.022770508095522
2015/02/24,146,461,7.134439553050651
2015/02/25,128,473,7.381048326838171
2015/02/26,140,470,7.639538570223429
2015/02/27,117,510,7.746056896553136
2015/02/28,135,481,7.528323928926194
2015/03/01,142,453,7.238004232147557
2015/03/02,139,469,7.192416661814874
2015/03/03,133,488,7.361409196219131
2015/03/04,122,485,7.483641049112459
2015/03/05,124,482,7.619610377789271
2015/03/06,129,504,7.766323035897897
2015/03/07,143,530,7.490382508599642
2015/03/08,230,185,5.232505310939562
2015/04/02,196,360,6.638530005778984
2015/04/03,143,525,7.5850054483124865
2015/04/04,143,517,7.714648533278633
2015/04/05,164,467,7.300588769466367
2015/04/06,157,466,7.306728854010345
2015/04/07,153,476,7.312763226647587
2015/04/08,137,504,7.24852387597062
2015/04/09,210,382,6.5151021946443395
2015/04/10,173,443,7.222535775989274
2015/04/11,144,532,7.589725370238857
2015/04/12,163,507,7.384078101493662
2015/04/13,178,531,7.618380539721205
2015/04/14,162,529,7.431287232945106
2015/04/15,162,518,7.665996964272664
2015/04/16,177,503,7.410037097844656
2015/04/17,147,525,7.590360607038767
2015/04/18,149,560,7.792210941404511
2015/04/19,190,509,7.3656019820216665
2015/04/20,192,514,7.10846292625783
2015/04/21,168,519,7.126739096412158
2015/04/22,173,514,7.2999546429461315
2015/04/23,233,395,6.614807655632893
2015/04/24,205,401,6.685420337811201
2015/04/25,174,522,7.172940024587326
2015/04/26,182,515,7.314622996235688
2015/04/27,185,497,6.961933545410965
2015/04/28,270,254,5.3858455122902456
2015/05/13,250,205,5.502033722843481
2015/06/17,214,371,6.860600215768653
2015/06/18,156,526,7.928870502704237
2015/06/19,158,540,7.6601629422079665
2015/06/20,163,532,7.53461123601132
2015/06/21,188,501,7.324693031089031
2015/06/22,178,529,7.516477016664614
2015/06/23,164,527,7.505982367678163
2015/06/24,157,557,7.907906290908012
2015/06/25,153,569,7.894771839630556
2015/06/26,156,561,8.106386072124907
2015/06/27,151,569,7.8830744414439335
2015/06/28,171,550,7.884807081879534
2015/06/29,156,574,8.023329228439875
2015/06/30,165,577,8.290286652348605
2015/07/01,172,590,7.8548060048654795
2015/07/02,182,554,7.3411714971809126
2015/07/03,170,555,7.5096791596783765
2015/07/04,179,538,7.545056863663617
2015/07/05,245,408,6.619402177425976
2015/09/04,166,425,7.5026187385563174
2015/09/05,160,501,7.689169324091749
2015/09/06,188,510,7.483072851923483
2015/09/07,183,533,7.464680869201535
2015/09/08,184,519,7.731782549292555
2015/09/09,180,509,7.445109589485835
2015/09/10,183,556,7.610237587490782
2015/09/11,168,572,7.800844973945853
2015/09/12,196,542,7.294587111242359
2015/09/13,188,480,6.89232288542925
2015/09/14,183,496,6.96067571962944
2015/09/15,182,504,6.906573238340083
2015/09/16,168,554,7.597427703512183
2015/09/17,189,521,7.373249382280611
2015/09/18,170,545,7.4609879173080484
2015/09/19,187,530,7.039849364724999
2015/09/20,202,546,7.647616794197947
2015/09/21,177,523,7.456372672963872
2015/09/22,178,535,7.432791152262546
2015/09/23,175,508,7.246861767265513
2015/09/24,205,491,7.321980087845704
2015/09/25,173,529,7.402617671743908
2015/09/26,179,530,7.57612773372095
2015/09/27,209,449,6.884817053065008
2015/09/28,223,404,6.656600034002583
2015/09/29,183,477,6.907361994642588
2015/09/30,175,501,7.0131022925348905
2015/10/01,176,514,7.2069838033414495
2015/10/02,166,544,7.416830772488135
2015/10/03,176,547,7.35175105781345
2015/10/04,205,534,7.113003590948718
2015/10/05,193,527,7.085206308920273
2015/10/06,182,508,7.069715904997412
2015/10/07,169,519,7.296541218094698
2015/10/08,175,492,7.5656430601897515
2015/10/09,173,524,7.584734787271691
2015/10/10,193,500,7.465470877384541
2015/10/11,186,504,7.554677992867039
2015/10/12,194,525,7.264094588698228
2015/10/13,184,500,7.257669653600271
2015/10/14,178,524,7.281190682255607
2015/10/15,254,322,6.065176041641125
2015/11/16,222,355,6.4776459471113474
2015/11/17,159,518,7.318941306049385
2015/11/18,182,491,6.861238935071711
2015/11/19,171,527,7.286021267798915
2015/11/20,150,548,7.505627730095161
2015/11/21,167,515,7.254884403492419
2015/11/22,170,472,7.03034620307148
2015/11/23,159,528,7.4431882053204985
2016/02/04,213,376,6.027385899693666
2016/02/05,162,541,6.9102044618943
2016/02/06,181,508,6.687388803701059
2016/02/07,195,499,6.450866635418749
2016/02/08,191,489,6.331748432818002
2016/02/09,169,506,6.635181294215909
2016/02/10,165,521,6.458012324219754
2016/02/11,177,507,6.54992944538308
2016/02/12,189,528,6.508775692095137
2016/02/13,186,514,6.716887918139989
2016/02/14,199,498,6.362845859120941
2016/02/15,184,526,6.300397923452194
2016/02/16,189,528,6.540381984676571
2016/02/17,188,519,6.60783682114793
2016/02/18,192,483,6.565906639843985
2016/02/19,171,515,7.005626090232983
2016/02/20,158,518,6.659722633940742
2016/02/21,176,497,6.5020281865109535
2016/02/22,186,507,6.55511414128989
2016/02/23,197,532,6.59405745879983
2016/02/24,195,504,6.440564344992106
2016/02/25,185,521,6.690435705914968
2016/02/26,201,506,6.567183238859603
2016/02/27,206,504,6.2503110091939975
2016/02/28,212,497,6.164252192831073
2016/02/29,210,524,6.603628513258134
2016/03/01,188,538,6.572814728988342
2016/03/02,181,537,6.55079341514704
2016/03/03,176,532,6.9442525138415485
2016/03/04,165,536,6.841329417926816
2016/03/05,172,523,6.970369433754122
2016/03/06,185,492,6.870705968233839
2016/03/07,184,497,6.678385140462934
2016/03/08,178,548,7.176278902579942
2016/03/09,189,529,6.616472690871676
2016/03/10,187,527,6.584434522456608
2016/03/11,204,537,6.714500375193707
2016/03/12,213,493,6.707605826075519
2016/03/14,263,381,5.67641342807801
2016/03/15,215,544,6.609881378031322
2016/03/16,211,517,6.267416964921658
2016/03/17,205,524,6.522914783591614
2016/03/18,205,521,6.733355483325515
2016/03/19,214,524,6.934349109879534
2016/03/20,210,512,6.526374722690663
2016/03/21,219,512,6.266824366874118
2016/03/22,212,513,6.672834763269397
2016/03/23,194,536,6.564614962405065
2016/03/24,201,532,6.621556487260076
2016/03/25,200,529,6.575396246705582
2016/03/26,191,542,6.6228103960897755
2016/03/27,199,498,6.276579771042532
2016/03/28,198,506,6.081441306936296
2016/03/29,225,432,5.963549704074932
2016/03/31,226,426,6.001290247698956
2016/04/01,187,555,6.724396815338475
2016/04/02,217,542,6.5566803019608795
2016/04/03,208,558,6.683462224862939
2016/04/04,223,543,6.505876358561737
2016/04/05,214,566,6.699816038136488
2016/04/06,207,577,6.776640813088132
2016/04/07,220,550,6.3905728524913945
2016/04/08,209,534,6.67547446978574
2016/04/09,197,517,6.6561106722864025
2016/04/10,211,526,6.5768160703168554
2016/04/11,205,525,6.5007320965053985
2016/04/12,209,547,6.810120245975885
2016/04/13,205,543,6.701197142247612
2016/04/14,200,559,6.546735315060008
2016/04/15,214,573,6.7168889492063375
2016/04/16,198,580,6.8480933004388245
2016/04/17,226,519,6.467612128483411
2016/04/18,211,548,6.470653017274286
2016/04/19,224,551,6.615869690673025
2016/04/20,201,549,6.742421676305314
2016/04/21,214,549,6.727158610550352
2016/04/22,216,556,6.82311719800249
2016/04/23,212,542,6.735375204953184
2016/04/24,216,523,6.655690340901196
2016/04/25,185,537,6.719447298496107
2016/04/26,199,538,6.292193053133911
2016/04/27,193,560,6.416991399445109
2016/04/28,197,552,6.90019510635793
2016/04/29,177,570,6.993584118346545
2016/04/30,207,549,6.831098058706795
2016/05/01,218,526,6.7011214229791385
2016/05/02,208,547,6.5732095926821135
2016/05/03,197,546,6.793629845410021
2016/05/04,186,554,6.8497001076382364
2016/05/05,193,570,7.042598719631417
2016/05/06,223,511,6.403791410830731
2016/05/23,273,444,5.795200484598071
2016/05/24,230,555,6.524354052672298
2016/05/25,199,588,7.080600666742998
2016/05/26,201,583,6.691078553742054
2016/05/27,207,591,6.836388730318205
2016/05/28,212,602,6.81905898813628
2016/05/29,240,561,6.508485776112314
2016/05/30,251,577,6.352090189798386
2016/05/31,227,594,6.29264211161745
2016/06/01,228,599,6.651648306897676
2016/06/02,211,620,6.954472229658538
2016/06/03,205,614,7.078125974823817
2016/06/04,244,585,6.946450637959868
2016/06/05,241,577,6.9471960174023355
2016/06/06,253,586,6.794334260232231
2016/06/07,233,603,6.701457651693341
2016/06/08,292,489,6.0086980036283
2016/06/27,268,384,5.9489314880489985
2016/06/28,194,569,7.0514938456205085
2016/06/29,197,594,7.046762267762742
2016/06/30,198,595,6.933645812325945
2016/07/01,181,600,7.045855169338664
2016/07/02,189,589,6.963476447719866
2016/07/03,200,540,6.621025254410542
2016/07/04,202,552,6.758913833311026
2016/07/05,195,571,7.124337300630825
2016/07/06,197,583,6.933501648114402
2016/07/07,204,585,7.1162940043307135
2016/07/08,206,577,7.042217928583689
2016/07/09,208,602,7.068953336233593
2016/07/10,226,559,6.795607666639378
2016/07/11,230,540,6.633625317961342
2016/07/12,215,568,6.516443881883803
2016/07/13,211,549,6.521225987053832
2016/07/14,206,558,6.744102532634083
2016/07/15,314,338,5.3264274588032325
2016/07/18,297,430,5.681929578580134
2016/07/19,226,560,6.583808179154945
2016/07/20,229,565,6.661548332683102
2016/07/21,234,579,6.566113603534103
2016/07/22,223,575,6.732928847600411
2016/07/23,221,579,6.708185714730149
2016/07/24,221,590,6.644423025436332
2016/07/25,238,574,6.517130566254037
2016/07/26,228,577,6.744368913031897
2016/07/27,215,574,6.696665668281288
2016/07/28,222,575,6.741510702663946
2016/07/29,204,569,6.696831263291759
2016/07/30,208,575,6.851824859197332
2016/07/31,220,563,6.627924858311478
2016/08/01,247,570,6.3204736881017025
2016/08/02,320,331,5.422991445068841
2016/08/03,256,465,5.9598191462481775
2016/08/04,233,564,6.271749837352762
2016/08/05,215,569,6.749127055504971
2016/08/06,205,567,6.7350034245725965
2016/08/07,233,536,6.342704399024
2016/08/08,227,549,6.325561942400235
2016/08/09,237,525,6.033235771202667
2016/08/10,199,543,6.311809022613276
2016/08/11,187,547,6.716962474655837
2016/08/12,201,554,6.830296048793057
2016/08/13,209,543,6.580096849067984
2016/08/14,205,549,6.642858462464873
2016/08/15,242,528,6.2816425938800915
2016/08/16,228,551,6.468863419014838
2016/08/17,241,541,6.4808832556330485
2016/08/18,346,264,4.664958321958087
2016/08/19,256,451,6.078978818314134
2016/08/20,210,580,6.6605396931870295
2016/08/21,222,573,6.763698511583406
2016/08/22,204,578,6.736160261328474
2016/08/23,215,575,6.57717438815893
2016/08/24,210,589,6.749007782175703
2016/08/25,219,588,6.774313469491971
2016/08/26,195,588,7.035984482874652
2016/08/27,206,609,7.012887957190739
2016/08/28,249,563,6.686545028883948
2016/08/29,226,559,6.507770155550576
2016/08/30,220,546,6.693885215374659
2016/08/31,206,569,6.899119210267669
2016/09/01,218,561,6.679171249231388
2016/09/02,215,565,6.714285733982651
2016/09/03,224,552,6.501818771389831
2016/09/04,242,524,6.343817785825576
2016/09/05,228,558,6.594466345296534
2016/09/06,223,560,6.553641308379043
2016/09/07,223,547,6.426904812054005
2016/09/08,281,418,5.5798382100189885
2016/10/05,234,374,5.365492533950071
2016/10/06,198,533,6.630520672916943
2016/10/07,180,551,6.9738732474249385
2016/10/08,194,532,6.723740614450193
2016/10/09,199,487,6.403554373264078
2016/10/10,203,485,6.1947925936548565
2016/10/11,185,533,6.576152968449392
2016/10/12,184,528,6.48822207141903
2016/10/13,176,533,6.729906148655573
2016/10/14,170,516,6.727169698761092
2016/10/15,182,491,6.630446943842777
2016/10/16,166,521,6.74512216313206
2016/10/17,199,485,6.149022624747942
2016/10/18,290,265,4.680248848821774
2016/10/21,219,382,5.829731773685173
2016/10/22,174,530,6.852763783429487
2016/10/23,198,498,6.571335308053751
2016/10/24,170,521,6.905825350672472
2016/10/25,177,524,7.1911806821615825
2016/10/26,190,518,6.793175531314577
2016/10/27,171,542,6.859804875608554
2016/10/28,181,537,6.711408241502448
2016/10/29,187,505,6.418409746904793
2016/10/30,213,517,6.5429610021229525
2016/10/31,227,511,6.365125052321704
2016/11/01,205,502,6.369770075358517
2016/11/02,192,502,6.408620125197934
2016/11/03,179,520,6.709451426593877
2016/11/04,194,509,6.658536096683121
2016/11/05,285,295,5.083562749817575
2016/12/07,222,346,5.904431753291689
2016/12/08,168,507,6.902301673228569
2016/12/09,163,507,6.786190563606725
2016/12/10,180,506,6.921212894077265
2016/12/11,174,487,6.881877309663789
2016/12/12,192,496,6.7665586468665415
2016/12/13,285,254,4.714512478260378
2017/01/06,195,390,6.134938833542683
2017/01/07,172,504,6.958567491392379
2017/01/08,170,501,7.161491562698401
2017/01/09,173,501,7.071396101161515
2017/01/10,165,517,6.8544238418691155
2017/01/11,173,487,6.249483498244942
2017/01/12,183,478,6.351477309060203
2017/01/13,197,450,6.063886098774848
2017/01/14,155,463,6.553914963790819
