,date,avg(avg(sog)),slow_count,fast_count
12,2014/10/06,6.4779057904320805,167,316
106,2014/10/07,7.044106408060044,134,415
24,2014/10/08,7.085384911109085,137,434
295,2014/10/09,7.092643152720041,128,423
345,2014/10/10,7.31544571752937,118,440
74,2014/10/11,7.09342931187371,142,423
338,2014/10/12,7.023635961331576,153,395
336,2014/10/13,6.7509293035830975,151,406
205,2014/10/14,6.832888752572822,133,419
262,2014/10/15,6.7885630664418,147,413
149,2014/10/16,6.903169222723233,154,410
243,2014/10/17,6.813368359421784,138,410
13,2014/10/18,7.270267063527192,135,424
273,2014/10/19,6.76426997979496,152,406
129,2014/10/20,6.881460719745017,138,449
81,2014/10/21,6.752333285550363,138,455
320,2014/10/22,7.158126713917563,122,457
378,2014/10/23,7.2201607775807055,135,436
337,2014/10/24,7.143704169934393,122,455
267,2014/10/25,6.939326835626169,143,425
75,2014/10/26,6.657840846364409,162,429
246,2014/10/27,6.984754096426829,138,441
82,2014/10/28,7.130548667617362,140,441
117,2014/10/29,7.19853221323967,126,443
321,2014/10/30,6.975430626395624,140,414
247,2014/10/31,7.077563750374379,139,439
211,2014/11/01,7.190452920144327,138,431
363,2014/11/02,7.039738626947718,148,395
196,2014/11/03,7.3361451925164625,118,433
78,2014/11/04,6.296752177972367,171,272
190,2014/11/05,6.27538729666849,169,266
1,2014/11/06,7.665868130202148,125,413
158,2014/11/07,7.444003685200339,112,435
150,2014/11/08,6.97924602905574,126,405
14,2014/11/09,7.200847788365307,136,408
369,2014/11/10,7.063234190535347,141,368
2,2014/12/03,6.055071129973923,194,280
151,2014/12/04,7.625800261202019,127,452
84,2014/12/05,7.290337026411133,129,440
177,2014/12/06,7.618525341727125,123,416
25,2014/12/07,7.258321908161089,123,407
45,2014/12/08,7.094020434226233,120,417
15,2014/12/09,6.721833068444719,136,400
120,2014/12/10,6.501838607975956,130,391
161,2014/12/11,6.614931772721747,128,420
312,2014/12/12,6.826239007627512,131,412
238,2014/12/13,7.21910904880592,123,417
109,2014/12/14,6.832588978907213,124,395
214,2014/12/15,6.551399059893942,140,395
167,2014/12/16,7.4779511529892115,120,440
221,2014/12/17,7.643313841649553,123,424
136,2014/12/18,7.125834762824324,134,400
159,2014/12/19,6.918401111830003,127,424
43,2014/12/20,7.496631178210933,121,442
231,2014/12/21,7.241181622976222,122,425
137,2014/12/22,6.922499501007483,128,413
83,2014/12/23,6.8831930642098165,133,411
269,2014/12/24,7.278605345256526,134,421
144,2014/12/25,6.8987465303025,173,382
164,2014/12/26,6.760582184187948,151,390
165,2014/12/27,7.352953296330099,133,402
318,2014/12/28,7.147137404569823,126,389
198,2014/12/29,7.0138849536718615,133,416
215,2014/12/30,6.9643465340484205,131,398
187,2015/01/05,6.553076405790657,153,318
21,2015/01/06,7.158739331254723,128,413
47,2015/01/07,6.778632119487216,143,394
342,2015/01/08,7.178717281245764,133,403
19,2015/01/09,7.1929326473256525,124,406
152,2015/01/10,6.788587584198552,120,416
66,2015/01/11,6.395522814072941,137,419
366,2015/01/12,7.094398389110893,131,416
348,2015/01/13,6.885797237449981,140,416
289,2015/01/14,7.1677624538599245,134,441
16,2015/01/15,7.299858433230653,125,442
110,2015/01/16,7.756213310330612,104,438
351,2015/01/17,7.183406842824793,119,432
115,2015/01/18,7.352903612994496,128,413
30,2015/01/19,7.085833676503799,136,421
194,2015/01/20,7.378538041196173,123,434
39,2015/01/21,7.3424278035945925,142,407
99,2015/01/22,7.371273788545837,127,443
281,2015/01/23,7.266603066768282,134,435
258,2015/01/24,6.951205157239271,139,411
76,2015/01/25,6.99900458697295,158,399
22,2015/01/26,7.3881442609767065,146,423
93,2015/01/27,7.27708929378447,144,426
65,2015/01/28,6.848497107102528,147,411
154,2015/01/29,6.626084770478813,132,445
235,2015/01/30,7.378603963393301,108,459
227,2015/01/31,6.979711372020817,142,407
125,2015/02/01,6.917814894247972,139,405
367,2015/02/02,7.07530683595976,130,423
31,2015/02/03,7.088398433895078,133,400
339,2015/02/06,6.237969613305327,190,294
188,2015/02/07,7.098455010893506,138,411
85,2015/02/08,6.9469712142570685,129,412
352,2015/02/09,7.157059710243229,130,438
313,2015/02/10,6.933564931723242,138,437
199,2015/02/11,7.339775865628605,142,441
282,2015/02/12,7.572721381798709,141,448
250,2015/02/13,7.11526848296427,132,418
204,2015/02/14,7.322802717564553,126,444
112,2015/02/15,7.006479945045288,160,416
10,2015/02/16,6.58755108317192,151,409
323,2015/02/17,6.9290790189062275,145,400
90,2015/02/18,6.915066230128229,145,400
244,2015/02/19,7.290845988432282,128,428
175,2015/02/20,7.000440928229767,136,415
245,2015/02/21,7.0740566032063885,124,408
379,2015/02/22,7.244815778652788,128,404
162,2015/02/23,6.955757848221546,133,408
200,2015/02/24,6.998336176146472,130,408
113,2015/02/25,7.25052071314408,116,413
203,2015/02/26,7.677205403327017,121,426
232,2015/02/27,7.722629901103437,104,459
195,2015/02/28,7.3842373381057405,125,425
3,2015/03/01,6.958135956114413,130,406
155,2015/03/02,7.080093271310599,126,421
356,2015/03/03,7.220318313209059,123,436
292,2015/03/04,7.318370207328835,111,434
94,2015/03/05,7.5068154435992325,112,437
23,2015/03/06,7.683752368578768,112,451
98,2015/03/07,7.398304140664809,124,475
140,2015/03/08,5.113829826483953,209,168
229,2015/04/02,6.5395293335218225,178,324
251,2015/04/03,7.516829678688077,126,469
380,2015/04/04,7.7048942572077355,128,471
116,2015/04/05,7.280464326808778,145,427
286,2015/04/06,7.247212422947066,138,421
26,2015/04/07,7.236716267321768,139,433
355,2015/04/08,7.161326441548204,126,451
263,2015/04/09,6.402287366108519,192,340
185,2015/04/10,7.181416103449477,157,402
168,2015/04/11,7.532966597323,129,474
329,2015/04/12,7.343546772433887,145,456
213,2015/04/13,7.767678905521546,151,483
290,2015/04/14,7.523771407423804,137,480
248,2015/04/15,7.612533617083932,143,465
169,2015/04/16,7.411414783634792,158,453
68,2015/04/17,7.524240171008841,133,468
17,2015/04/18,7.782446644860487,130,507
206,2015/04/19,7.451551421274055,167,460
32,2015/04/20,7.192629128853174,170,465
118,2015/04/21,7.110368323914435,152,464
223,2015/04/22,7.288000450734245,150,463
121,2015/04/23,6.695639842186037,208,365
18,2015/04/24,6.4677178388541465,189,356
218,2015/04/25,7.005367488454714,159,472
100,2015/04/26,6.9920394785490805,168,459
40,2015/04/27,6.871328691885633,169,443
131,2015/04/28,5.346803792775658,240,235
216,2015/05/13,5.528497307500337,221,190
56,2015/06/17,6.904229296870155,185,332
357,2015/06/18,7.969296832237826,133,464
96,2015/06/19,7.61992049860287,138,477
358,2015/06/20,7.528371565180532,141,475
219,2015/06/21,7.241585346946653,166,439
0,2015/06/22,7.2152332609164045,164,462
293,2015/06/23,7.328242062101996,149,465
307,2015/06/24,7.6906061479674435,143,493
332,2015/06/25,7.801263261091032,137,505
220,2015/06/26,7.8422943837087695,143,496
303,2015/06/27,7.8341517351544105,131,504
207,2015/06/28,7.807844064188684,156,490
95,2015/06/29,7.738569404463941,144,505
350,2015/06/30,8.097921565938309,150,505
353,2015/07/01,7.837899079959843,151,522
69,2015/07/02,7.2606293731371165,164,488
37,2015/07/03,7.3933832348609165,154,488
212,2015/07/04,7.454878818006468,162,485
225,2015/07/05,6.5413914583262605,222,364
27,2015/09/04,7.399762432118942,150,384
264,2015/09/05,7.598728864095593,146,445
291,2015/09/06,7.267074499276304,171,459
178,2015/09/07,7.355564678831158,165,468
287,2015/09/08,7.677781891947546,165,466
268,2015/09/09,7.4206196973348275,154,459
373,2015/09/10,7.5667754197728,163,491
147,2015/09/11,7.792342293316048,147,509
48,2015/09/12,7.233480792141428,170,488
359,2015/09/13,6.864111774353131,159,436
314,2015/09/14,7.020691596792396,156,454
179,2015/09/15,6.877522308575284,163,446
201,2015/09/16,7.581975815742849,143,496
79,2015/09/17,7.282377058525437,167,455
324,2015/09/18,7.4180257662223745,143,482
222,2015/09/19,6.948188485061334,163,468
173,2015/09/20,7.4917105320186295,176,481
301,2015/09/21,7.497476494630862,153,469
239,2015/09/22,7.359490630584585,158,471
58,2015/09/23,7.15099265448426,155,451
228,2015/09/24,7.2573865793154315,182,435
54,2015/09/25,7.341132430474595,154,463
62,2015/09/26,7.429039550380896,158,461
265,2015/09/27,6.698888005210876,185,392
160,2015/09/28,6.608600908064492,195,349
143,2015/09/29,6.842759447115479,157,408
249,2015/09/30,7.023132142209708,144,434
182,2015/10/01,7.223371150980192,155,446
277,2015/10/02,7.4214410225065865,144,480
59,2015/10/03,7.298062559754777,154,488
236,2015/10/04,6.9939710566467275,183,469
256,2015/10/05,7.171230245638854,165,473
86,2015/10/06,7.042022078661888,160,454
124,2015/10/07,7.234491185441311,144,460
226,2015/10/08,7.6456113181749155,153,433
309,2015/10/09,7.545541654208914,149,456
209,2015/10/10,7.563669231780434,164,447
233,2015/10/11,7.469758238921697,166,434
315,2015/10/12,7.188789522939791,173,461
308,2015/10/13,7.253197810437724,159,446
224,2015/10/14,7.20068940446901,158,465
132,2015/10/15,5.936714381200019,230,285
