mmsi,nav_status,rot,sog,lat,lng,cog,utc_sec,value
246419000,1,0.0,0.1,52.1929,4.24805,73.3,19,246419000
205366000,5,0.0,0.0,54.16,12.141334,238.0,5,205366000
219431000,5,0.0,0.0,58.352707,11.435723,248.3,22,219431000
218731000,0,0.0,9.3,53.00016,2.1462133,303.3,0,218731000
218731000,0,0.0,9.1,52.999725,2.1474116,299.8,40,218731000
218731000,0,0.0,9.2,52.999306,2.1485517,299.3,21,218731000
258714000,5,0.0,0.0,51.27789,4.3387384,354.7,4,258714000
219081000,0,13.0,11.6,55.49598,-6.455148,145.9,57,219081000
219081000,0,241.0,11.6,55.49642,-6.4556766,145.9,47,219081000
219081000,0,7.0,11.8,55.497707,-6.457225,143.7,18,219081000
234450000,0,129.0,4.7,56.153667,-2.356,196.0,15,234450000
234450000,0,127.0,4.6,56.154335,-2.3556666,195.0,46,234450000
249546000,0,0.0,0.0,51.884,4.2868333,354.0,8,249546000
249546000,0,0.0,0.0,51.884,4.2868333,354.0,58,249546000
249546000,0,0.0,0.0,51.884,4.2868333,354.0,58,249546000
249546000,0,0.0,0.0,51.884,4.2868333,340.0,49,249546000
249546000,0,0.0,0.0,51.884,4.2868333,340.0,49,249546000
249546000,0,0.0,0.0,51.884,4.2868333,226.0,39,249546000
249546000,0,0.0,0.0,51.884,4.2868333,10.0,28,249546000
249546000,0,0.0,0.0,51.884,4.2868333,10.0,28,249546000
249546000,0,0.0,0.0,51.884,4.2868333,20.0,18,249546000
249546000,0,0.0,0.0,51.884,4.2868333,20.0,18,249546000
210445000,1,0.0,0.4,55.430332,8.085167,222.0,18,210445000
248374000,0,0.0,3.1,53.48129,9.959309,199.2,12,248374000
248374000,0,0.0,3.1,53.481415,9.959378,198.3,3,248374000
248374000,0,0.0,3.1,53.481594,9.95939,197.3,52,248374000
248374000,0,0.0,3.2,53.481853,9.959494,195.8,32,248374000
248374000,0,0.0,3.3,53.482,9.959572,195.0,22,248374000
219675000,1,0.0,0.1,51.413242,1.40303,162.0,8,219675000
219675000,1,0.0,0.1,51.413242,1.40303,162.0,8,219675000
219675000,1,0.0,0.1,51.41325,1.4030267,204.0,57,219675000
219675000,1,0.0,0.1,51.413254,1.4030284,227.0,47,219675000
219675000,1,0.0,0.1,51.413254,1.4030284,227.0,47,219675000
219675000,1,0.0,0.2,51.41327,1.403035,239.0,38,219675000
219675000,1,0.0,0.2,51.413284,1.4030434,258.0,28,219675000
219675000,1,0.0,0.2,51.413284,1.4030434,258.0,28,219675000
219675000,1,0.0,0.2,51.413284,1.4030434,258.0,28,219675000
219675000,1,0.0,0.2,51.413273,1.4030516,269.0,18,219675000
219675000,1,0.0,0.2,51.413273,1.4030516,269.0,18,219675000
538004273,0,0.0,13.6,53.130817,1.59126,294.4,6,538004273
538004273,0,0.0,13.6,53.130817,1.59126,294.4,6,538004273
538004273,0,0.0,13.6,53.130558,1.5922134,294.2,56,538004273
538004273,0,0.0,13.6,53.130295,1.593165,293.5,46,538004273
538004273,0,0.0,13.6,53.130295,1.593165,293.5,46,538004273
538004273,0,0.0,13.6,53.13007,1.59403,293.4,37,538004273
538004273,0,0.0,13.6,53.129757,1.59517,293.9,26,538004273
538004273,0,0.0,13.6,53.129757,1.59517,293.9,26,538004273
236107000,1,9.0,0.4,52.46485,4.1274614,61.6,6,236107000
236107000,1,9.0,0.4,52.46485,4.1274614,61.6,6,236107000
236107000,1,9.0,0.4,52.46485,4.1274614,61.6,6,236107000
236184000,0,0.0,11.2,51.344147,2.2726116,298.5,8,236184000
236184000,0,0.0,11.2,51.343933,2.2732716,298.5,58,236184000
319402000,0,127.0,7.7,50.433575,0.45766833,81.0,12,319402000
319402000,0,129.0,8.2,50.43352,0.45732334,76.0,6,319402000
319402000,0,127.0,7.9,50.433353,0.456345,80.0,49,319402000
319402000,0,129.0,8.4,50.43329,0.45593834,73.0,42,319402000
319402000,0,0.0,8.3,50.43315,0.45512834,77.0,28,319402000
319402000,0,127.0,8.4,50.433094,0.45478,70.0,22,319402000
319402000,0,127.0,8.5,50.433037,0.454435,72.0,16,319402000
244530000,0,0.0,0.1,49.49453,-0.06921167,67.5,9,244530000
244530000,0,0.0,0.1,49.494526,-0.06922,67.5,58,244530000
244530000,0,0.0,0.1,49.494526,-0.06922667,67.5,48,244530000
244530000,0,0.0,0.1,49.494526,-0.06922667,67.5,48,244530000
244530000,0,0.0,0.1,49.494503,-0.069251664,65.8,28,244530000
244530000,0,0.0,0.1,49.494503,-0.069251664,65.8,28,244530000
245405000,0,0.0,0.0,51.891014,4.3424234,296.8,10,245405000
245405000,0,0.0,0.0,51.891014,4.3424234,296.8,10,245405000
245405000,0,0.0,0.0,51.891014,4.3424234,296.8,10,245405000
245405000,0,0.0,0.0,51.891014,4.3424234,296.8,10,245405000
245405000,0,0.0,0.0,51.891033,4.3424435,296.8,59,245405000
245405000,0,0.0,0.0,51.891075,4.342517,296.8,50,245405000
245405000,0,0.0,0.0,51.891075,4.342517,296.8,50,245405000
245405000,0,0.0,0.0,51.89108,4.342517,296.8,39,245405000
245405000,0,0.0,0.0,51.89108,4.342517,296.8,30,245405000
245405000,0,0.0,0.0,51.89108,4.342517,296.8,30,245405000
245405000,0,0.0,0.0,51.891087,4.342515,296.8,19,245405000
235098058,0,0.0,12.0,54.5907,-0.5613367,322.0,9,235098058
249959000,0,0.0,8.8,53.486973,0.411055,297.3,0,249959000
249959000,0,0.0,8.8,53.486973,0.411055,297.3,0,249959000
249959000,0,127.0,9.1,53.486557,0.41232833,295.9,39,249959000
249959000,0,127.0,9.1,53.486557,0.41232833,295.9,39,249959000
246392000,5,0.0,0.0,51.494083,0.17323834,182.8,58,246392000
308539000,0,0.0,4.8,54.482513,-0.27608332,150.9,11,308539000
308539000,0,0.0,4.8,54.482704,-0.27627,149.4,0,308539000
