mmsi,nav_status,rot,sog,lat,lng,cog,utc_sec,value
218731000,0,0.0,9.2,52.998463,2.150995,298.9,41,218731000
219081000,0,16.0,11.8,55.499012,-6.45908,137.3,47,219081000
311799000,0,128.0,10.3,54.737293,-0.5511467,332.0,0,311799000
234450000,0,129.0,4.5,56.154835,-2.3553333,196.0,15,234450000
234450000,0,0.0,4.5,56.155167,-2.3551667,196.0,5,234450000
234450000,0,129.0,4.7,56.1555,-2.355,198.0,46,234450000
249546000,0,0.0,0.0,51.884,4.2868333,33.0,8,249546000
249546000,0,0.0,0.0,51.884,4.2868333,33.0,8,249546000
249546000,0,0.0,0.0,51.884,4.2868333,33.0,8,249546000
249546000,0,0.0,0.0,51.884,4.2868333,33.0,8,249546000
249546000,0,0.0,0.0,51.884,4.2868333,256.0,58,249546000
249546000,0,0.0,0.0,51.884,4.2868333,306.0,49,249546000
249546000,0,0.0,0.0,51.88392,4.28676,341.0,39,249546000
248374000,0,0.0,3.3,53.48212,9.959633,193.7,12,248374000
248374000,0,0.0,3.3,53.482258,9.959715,191.6,3,248374000
248374000,0,0.0,3.4,53.4824,9.95977,190.4,52,248374000
248374000,0,0.0,3.5,53.48255,9.959824,189.9,42,248374000
219675000,1,0.0,0.2,51.413258,1.4030583,275.0,8,219675000
219675000,1,0.0,0.2,51.413258,1.4030583,275.0,8,219675000
219675000,1,0.0,0.2,51.413258,1.4030583,275.0,8,219675000
219675000,1,0.0,0.2,51.413208,1.4030683,277.0,57,219675000
219675000,1,0.0,0.1,51.413242,1.4030883,277.0,47,219675000
219675000,1,0.0,0.1,51.413242,1.4030883,277.0,47,219675000
219675000,1,0.0,0.1,51.413258,1.4031,275.0,38,219675000
219675000,1,0.0,0.1,51.413258,1.4031,275.0,38,219675000
538004273,0,0.0,13.6,53.12926,1.596975,295.2,6,538004273
538004273,0,0.0,13.6,53.12926,1.596975,295.2,6,538004273
538004273,0,0.0,13.6,53.128998,1.5979316,295.3,56,538004273
538004273,0,0.0,13.6,53.128735,1.5988883,294.3,46,538004273
538004273,0,0.0,13.6,53.128735,1.5988883,294.3,46,538004273
236184000,0,0.0,10.6,51.342327,2.278225,293.9,49,236184000
236184000,0,0.0,10.5,51.342094,2.2789316,290.4,39,236184000
319402000,0,0.0,8.5,50.432938,0.453855,74.0,6,319402000
319402000,0,0.0,8.5,50.432636,0.45210832,67.0,36,319402000
244530000,0,0.0,0.2,49.494495,-0.069275,57.2,9,244530000
244530000,0,0.0,0.2,49.494507,-0.069291666,36.2,48,244530000
244530000,0,0.0,0.2,49.494514,-0.069303334,19.1,38,244530000
245405000,0,0.0,0.0,51.891087,4.3425016,296.8,10,245405000
245405000,0,0.0,0.0,51.891087,4.3425016,296.8,10,245405000
245405000,0,0.0,0.0,51.891087,4.3425016,296.8,10,245405000
245405000,0,0.0,0.0,51.891094,4.3424983,296.8,59,245405000
